Order ID,Order Date,Order Hour,City,Customer ID,Customer Age,Payment Method,Cuisine,Restaurant Name,Restaurant Rating,Quantity,Unit Price,Discount (PKR),Subtotal,Revenue,Promised Time (min),Delivery Time (min),Prep Time (min),Delivery Fee,Total Paid,Delivery Partner,Delivery Status
1,12-10-2024,10,Quetta,10058,39,Card,Pasta,Zafran Biryani,3.7,3,1018.16,0,3054.48,3054.48,42,39.0,29,165.24,3219.72,Rider E,On-Time
2,01-03-2024,21,Peshawar,16452,55,Cash,Sandwich,Shinwari Pizza,4.1,1,2234.62,0,2234.62,2234.62,46,52.0,30,98.11,2332.73,Rider E,Late
3,06-04-2024,9,Rawalpindi,56461,49,Cash,Fast Food,Smokey Pindi,4.9,4,1624.56,100,6498.24,6398.24,57,66.0,19,198.01,6596.25,Rider E,Late
4,06-11-2024,9,Islamabad,21350,53,Card,BBQ,Pakhtoon Desi,4.9,3,527.4,100,1582.2,1482.2,61,46.0,38,42.34,1524.54,Rider C,On-Time
5,14-06-2024,17,Quetta,83753,43,Wallet,Burger,BBQ Quetta,4.3,2,2479.52,150,4959.04,4809.04,68,79.0,17,119.77,4928.81,Rider E,Late
6,05-05-2024,14,Faisalabad,53408,34,Card,Biryani,Karahi King,4.7,3,1374.13,100,4122.39,4022.39,64,58.0,42,94.44,4116.83,Rider A,On-Time
7,20-05-2024,18,Islamabad,91777,51,Wallet,BBQ,Isb Pie,4.5,5,1427.08,0,7135.4,7135.4,60,53.0,13,46.63,7182.03,Rider E,On-Time
8,24-06-2024,17,Faisalabad,76222,52,Card,Pizza,Desi Square,4.3,5,1221.39,200,6106.95,5906.95,43,26.0,10,96.69,6003.64,Rider F,On-Time
9,19-11-2024,16,Islamabad,11491,22,Wallet,Pasta,Dragon Den,4.9,5,2432.05,50,12160.25,12110.25,65,70.0,24,151.96,12262.21,Rider D,Late
10,14-12-2024,12,Multan,92381,36,Wallet,Desi,Wok City,3.9,4,765.57,150,3062.28,2912.28,36,60.0,34,79.95,2992.23,Rider C,Late
11,18-08-2024,21,Lahore,41529,58,Card,Desi,Desi Darbar,3.9,1,306.75,0,306.75,306.75,58,63.0,21,95.27,402.02,Rider C,Late
12,28-10-2024,17,Karachi,56833,39,Wallet,Pasta,Szechuan Street,4.2,2,1009.95,50,2019.9,1969.9,38,24.0,16,129.79,2099.69,Rider D,On-Time
13,17-03-2024,13,Quetta,91293,55,Card,Sandwich,Desi Quetta,3.6,4,2466.09,150,9864.36,9714.36,69,73.0,23,83.5,9797.86,Rider C,Late
14,04-11-2024,11,Lahore,29351,47,Wallet,Chinese,Wok & Roll,4.6,5,2373.42,100,11867.1,11767.1,52,57.0,35,44.77,11811.87,Rider B,Late
15,14-05-2024,14,Karachi,25924,67,Wallet,Thai,Khi Slice,5.0,4,2150.41,250,8601.64,8351.64,68,70.0,14,74.63,8426.27,Rider E,Late
