customer_id,tenure,monthly_charges,total_charges,contract_type,internet_service,payment_method,gender,senior_citizen,partner,dependents,churn
CUST_1,40,13.631334537705342,545.2533815082137,One year,No,Bank transfer,Male,0,Yes,Yes,No
CUST_2,16,32.71223661687233,523.3957858699573,One year,No,Electronic check,Male,0,No,Yes,No
CUST_3,62,89.12566955992507,5525.791512715355,One year,No,Credit card,Female,0,Yes,No,No
CUST_4,42,62.06461729257771,2606.713926288264,Month-to-month,Fiber optic,Electronic check,Female,1,Yes,Yes,No
CUST_5,72,31.995133179435097,2303.649588919327,One year,No,Bank transfer,Male,0,Yes,No,No
CUST_6,3,46.436882588863014,139.31064776658906,One year,No,Credit card,Female,0,No,Yes,No
CUST_7,71,27.34441082129135,1941.4531683116859,Month-to-month,DSL,Electronic check,Male,1,Yes,Yes,No
CUST_8,39,111.76669669433402,4358.901171079026,One year,DSL,Bank transfer,Female,1,Yes,No,No
CUST_9,45,108.45446945832134,4880.4511256244605,Month-to-month,Fiber optic,Credit card,Male,0,Yes,No,No
CUST_10,57,62.074082379772825,3538.222695647051,One year,Fiber optic,Electronic check,Male,0,Yes,No,No
CUST_11,12,76.21210723094491,914.5452867713389,Two year,No,Mailed check,Male,0,No,Yes,No
CUST_12,22,97.9161655863558,2154.155642899828,One year,No,Bank transfer,Female,1,No,No,No
CUST_13,41,105.50610103356057,4325.750142375983,One year,No,Mailed check,Female,1,Yes,No,No
CUST_14,3,87.74116555774889,263.22349667324664,Two year,No,Credit card,Male,1,Yes,No,No
CUST_15,1,86.83492053272921,86.83492053272921,One year,Fiber optic,Electronic check,Male,1,Yes,No,No
CUST_16,1,92.06095076688689,92.06095076688689,One year,No,Bank transfer,Male,1,No,Yes,No
CUST_17,24,81.77521567363576,1962.6051761672582,One year,DSL,Electronic check,Male,0,No,No,No
CUST_18,23,73.97093900206372,1701.3315970474655,Two year,Fiber optic,Credit card,Male,0,No,No,No
CUST_19,34,49.656839521918876,1688.3325437452418,Month-to-month,No,Bank transfer,Male,0,Yes,No,No
CUST_20,16,26.564774343971234,425.03638950353974,Two year,Fiber optic,Credit card,Male,0,Yes,Yes,No
CUST_21,58,25.45337132344165,1476.2955367596157,One year,Fiber optic,Credit card,Male,0,Yes,No,No
CUST_22,48,95.7300410295825,4595.04196941996,Month-to-month,Fiber optic,Electronic check,Male,1,Yes,Yes,Yes
CUST_23,24,77.36356088943917,1856.7254613465402,Month-to-month,DSL,Bank transfer,Male,0,No,Yes,No
CUST_24,60,62.39106359506277,3743.463815703766,One year,DSL,Electronic check,Female,1,Yes,Yes,No
CUST_25,72,70.48439266082013,5074.87627157905,One year,DSL,Mailed check,Male,0,No,No,No
CUST_26,9,43.871021777003286,394.8391959930296,Month-to-month,No,Mailed check,Female,0,Yes,Yes,No
CUST_27,51,35.33352305560085,1802.0096758356433,One year,No,Credit card,Female,1,Yes,No,No
CUST_28,1,64.04920863078613,64.04920863078613,One year,Fiber optic,Bank transfer,Male,1,No,Yes,Yes
CUST_29,26,95.93360007129462,2494.2736018536602,One year,Fiber optic,Mailed check,Male,0,Yes,Yes,No
CUST_30,67,85.25607164474032,5712.156800197601,Two year,Fiber optic,Electronic check,Male,1,Yes,No,No
CUST_31,24,100.02864976459998,2400.687594350399,Two year,Fiber optic,Bank transfer,Male,1,Yes,No,Yes
CUST_32,45,51.39905442111773,2312.957448950298,Two year,Fiber optic,Bank transfer,Male,1,No,No,No
CUST_33,18,19.43436647854007,349.8185966137213,Two year,DSL,Credit card,Female,1,No,No,Yes
CUST_34,9,107.57456901224013,968.1711211101612,One year,DSL,Bank transfer,Male,0,No,No,No
CUST_35,20,105.5480055322879,2110.960110645758,Two year,Fiber optic,Electronic check,Female,1,Yes,Yes,No
CUST_36,47,118.32461631176557,5561.256966652982,Month-to-month,Fiber optic,Mailed check,Male,0,Yes,Yes,No
CUST_37,35,88.19117770179405,3086.6912195627915,One year,No,Credit card,Female,0,No,No,No
CUST_38,20,30.07853947688182,601.5707895376364,One year,DSL,Electronic check,Male,1,No,No,No
CUST_39,35,30.52872621393179,1068.5054174876127,Two year,No,Electronic check,Female,1,Yes,Yes,No
CUST_40,35,103.20378914340887,3612.1326200193103,Month-to-month,Fiber optic,Electronic check,Male,1,No,No,No
CUST_41,42,100.43434798261164,4218.242615269689,Month-to-month,Fiber optic,Credit card,Male,1,Yes,No,No
CUST_42,51,35.653000740256175,1818.303037753065,Two year,DSL,Credit card,Female,1,No,No,No
CUST_43,29,117.7721798367857,3415.3932152667853,Two year,Fiber optic,Electronic check,Female,1,Yes,No,No
CUST_44,39,68.73435266082528,2680.639753772186,Month-to-month,DSL,Electronic check,Female,0,Yes,Yes,No
CUST_45,68,105.38350875161984,7166.07859511015,Two year,Fiber optic,Mailed check,Female,1,Yes,No,No
CUST_46,69,39.63835983317432,2735.046828489028,Two year,No,Mailed check,Female,0,No,No,No
CUST_47,6,45.439884879112824,272.639309274677,Month-to-month,Fiber optic,Bank transfer,Male,1,No,Yes,No
CUST_48,32,103.81687294441956,3322.139934221426,One year,Fiber optic,Electronic check,Female,0,Yes,No,No
CUST_49,27,61.29287670481942,1654.9076710301244,Month-to-month,Fiber optic,Credit card,Female,1,Yes,Yes,No
CUST_50,59,38.55915017852341,2274.9898605328813,Month-to-month,No,Bank transfer,Male,1,No,Yes,No
CUST_51,34,21.881016165453886,743.9545496254322,One year,No,Bank transfer,Male,1,Yes,Yes,No
CUST_52,63,32.69316566521759,2059.669436908708,One year,No,Credit card,Male,0,No,Yes,No
CUST_53,62,64.49425121665914,3998.6435754328663,Two year,No,Bank transfer,Male,0,Yes,Yes,No
CUST_54,22,18.607844920169054,409.3725882437192,One year,DSL,Credit card,Male,1,No,Yes,Yes
CUST_55,63,14.785780571279084,931.5041759905822,Two year,Fiber optic,Mailed check,Male,1,Yes,No,Yes
CUST_56,20,14.93553103174084,298.7106206348168,Month-to-month,No,Credit card,Male,1,Yes,No,No
CUST_57,47,52.85755343243179,2484.3050113242944,One year,No,Credit card,Male,0,Yes,No,No
CUST_58,70,22.58253757044524,1580.7776299311668,Two year,DSL,Credit card,Female,1,Yes,No,No
CUST_59,69,100.43268886058341,6929.855531380255,Month-to-month,Fiber optic,Mailed check,Female,1,Yes,No,No
CUST_60,39,42.326425212811344,1650.7305832996424,Month-to-month,Fiber optic,Mailed check,Male,1,No,Yes,No
CUST_61,61,114.7751970901962,7001.287022501968,Two year,No,Electronic check,Female,0,Yes,No,No
CUST_62,30,46.88508858211556,1406.5526574634666,Two year,Fiber optic,Electronic check,Male,1,No,No,Yes
CUST_63,24,72.13590053175774,1731.261612762186,One year,DSL,Credit card,Male,1,No,No,Yes
CUST_64,55,51.74330713163073,2845.88189223969,Two year,No,Mailed check,Female,0,No,Yes,No
CUST_65,35,68.27674358609151,2389.686025513203,One year,Fiber optic,Credit card,Male,0,Yes,Yes,No
CUST_66,43,113.6653937911753,4887.611933020538,Month-to-month,Fiber optic,Mailed check,Male,0,No,Yes,No
CUST_67,51,60.64474174086449,3092.881828784089,Month-to-month,DSL,Credit card,Female,0,Yes,No,Yes
CUST_68,38,92.29312893062739,3507.1388993638407,Month-to-month,Fiber optic,Electronic check,Male,0,No,No,No
CUST_69,40,14.16838457118887,566.7353828475548,Two year,No,Bank transfer,Male,1,No,No,Yes
CUST_70,20,51.154056126462436,1023.0811225292487,Two year,DSL,Electronic check,Male,0,Yes,Yes,No
CUST_71,4,53.87366935591469,215.49467742365877,Month-to-month,DSL,Electronic check,Male,1,Yes,Yes,No
CUST_72,18,51.1904565222831,921.4282174010958,Month-to-month,Fiber optic,Credit card,Female,1,Yes,Yes,No
CUST_73,39,90.39057358877764,3525.232369962328,Two year,No,Bank transfer,Male,1,Yes,Yes,No
CUST_74,35,60.91136724273694,2131.897853495793,One year,Fiber optic,Mailed check,Female,0,Yes,No,No
CUST_75,22,75.11196937788328,1652.4633263134322,Two year,DSL,Electronic check,Female,0,Yes,Yes,No
CUST_76,58,94.56666633093693,5484.866647194342,Two year,No,Bank transfer,Female,0,No,Yes,Yes
CUST_77,14,46.942233615344826,657.1912706148275,Two year,Fiber optic,Mailed check,Male,0,No,No,Yes
CUST_78,57,64.56133814347568,3679.9962741781137,Two year,No,Mailed check,Female,1,No,Yes,No
